Rank	University	Score	Country
423	Beijing University of Technology	55.833	China
424	East China University of Science and Technology	55.661	China
425	Middle East Technical University	55.655	Turkey
426	Shanghai University	55.435	China
427	Yokohama City University	55.365	Japan
428	Kumamoto University	55.358	Japan
429	China Medical University (Taiwan)	55.325	China
430	Kent State University	55.321	USA
431	Vilnius University	55.221	Lithuania
432	University of Victoria	55.19	Canada
433	University College Cork	55.188	Ireland
434	IMT Mines Albi-Carmaux	55.151	France
435	University of Rovira i Virgili	54.951	Spain
436	National Autonomous University of Mexico	54.925	Mexico
437	Hunan University	54.825	China
438	Jamia Millia Islamia	54.769	India
439	Soochow University (China)	54.752	China
440	K. N. Toosi University of Technology	54.633	Iran
441	University of Minho	54.536	Portugal
442	University of Ferrara	54.478	Italy
443	Sechenov University	54.421	Russia
444	Shahid Beheshti University	54.388	Iran
445	Northeastern University (China)	54.347	China
446	Auckland University of Technology	54.346	New Zealand
447	Nanjing University of Technology	54.294	China
448	University of Hull	54.212	UK
449	Masaryk University	54.125	Czech Republic
450	Oxford Brookes University	54.121	UK
451	Universita Cattolica del Sacro Cuore	54.104	Italy
452	Palacky University of Olomouc	53.962	Czech Republic
453	University of Turin	53.821	Italy
454	National Chung Hsing University	53.741	Taiwan
455	Lobachevsky University	53.689	Russia
456	Istanbul Technical University	53.608	Turkey
457	Worcester Polytechnic Institute	53.599	USA
458	Kyungpook National University	53.597	Republic of Korea
459	University of Ljubljana	53.556	Slovenia
460	University of Valencia	53.469	Spain
461	New Mexico State University	53.45	USA
462	University of Waikato	53.394	New Zealand
463	New Jersey Institute of Technology (NJIT)	53.246	USA
464	Eotvos Lorand University	53.184	Hungary
465	University of Arkansas	53.148	USA
466	Osaka Prefecture University	53.062	Japan
467	Beijing University of Chemical Technology	53.038	China
468	Kaohsiung Medical University	53.029	Taiwan
469	University of New Brunswick	52.851	Canada
470	Yokohama National University	52.848	Japan
471	Manipal Academy of Higher Education	52.749	India
472	University of Crete	52.691	Greece
473	University de Lorraine	52.299	France
474	Nanjing University of Science & Technology	52.287	China
475	North Dakota State University	52.228	USA
476	University of Electronic Science and Technology of China	52.185	China
477	University of Qatar	52.146	Qatar
478	York University	52.062	Canada
479	University of Rome III	52.007	Italy
480	Moscow Aviation Institute	51.98	Russia
481	Complutense University of Madrid	51.952	Spain
482	Florida International University	51.906	USA
483	Polytechnic University of Madrid	51.879	Spain
484	Liverpool John Moores University	51.795	UK
485	Waseda University	51.778	Japan
486	Gifu University	51.706	Japan
487	Old Dominion University	51.665	USA
488	Kyushu Institute of Technology	51.494	Japan
489	University of Sofia	51.333	Bulgaria
490	Macau University of Science and Technology	51.21	Macau
491	National Taras Shevchenko University of Kyiv	51.08	Ukraine
492	Indian Institute of Technology (Indian School of Mines)	51.038	India
493	Ca`Foscari University of Venice	50.869	Italy
494	Charles III University of Madrid	50.673	Spain
495	University of Puerto Rico	50.657	Puerto Rico
496	University of Santiago de Compostela	50.656	Spain
497	Australian Catholic University	50.468	Australia
498	Stevens Institute of Technology	50.224	USA
499	University of Alabama Birmingham	50.05	USA
500	Babol Noshirvani University of Technology	49.987	Iran
501	University of Tabriz	49.942	Iran
502	Chongqing University	49.835	China
503	Ankara University	49.815	Turkey
504	Dublin City University	49.796	Ireland
505	Northumbria University	49.749	UK
506	University of Texas at Arlington	49.746	USA
507	Jinan University	49.732	China
508	Chonnam National University	49.557	Republic of Korea
509	Universite de Tunis El Manar	49.539	Tunisia
510	Shanghai University of Traditional Chinese Medicine	49.381	China
511	University of Lucerne	49.298	Switzerland
512	Chonbuk National University	49.293	Republic of Korea
513	University of Greenwich	49.217	UK
514	Sogang University	49.187	Republic of Korea
515	Monterrey Institute of Technology and Higher Education	49.101	Mexico
516	University of Bradford	49.074	UK
517	Jiangnan University	48.944	China
518	American University in Cairo	48.926	Egypt
519	University of Texas at San Antonio	48.922	USA
520	Jeonbuk National University	48.613	Republic of Korea
521	Universidade Federal do Ceara	48.245	Brazil
522	Edith Cowan University	48.069	Australia
523	University of Portsmouth	48.056	UK
524	Universite du Quebec a Montreal	48.01	Canada
525	IQS Universitat Ramon Llull	48.006	Spain
526	University of Zaragoza	47.999	Spain
527	Istanbul University	47.81	Turkey
528	Siberian Federal University	47.603	Russia
529	University of the Basque Country	47.572	Spain
531	Brno University of Technology	47.379	Czech Republic
531	Nanjing University of Aeronautics & Astronautics	47.379	China
532	Murdoch University	47.324	Australia
533	Texas Christian University	47.209	USA
534	Yamagata University	47.07	Japan
535	University of Southern Queensland	47.032	Australia
536	Toyohashi University of Technology	46.785	Japan
537	Mississippi State University	46.784	USA
538	University of Salamanca	46.753	Spain
539	University of Zagreb	46.677	Croatia
540	Warsaw University of Technology	46.659	Poland
541	Lebanese American University	46.591	Lebanon
542	Northeast Normal University (China)	46.537	China
543	University of Central Florida	46.257	USA
544	Aristotle University of Thessaloniki	46.145	Greece
545	Tottori University	46.02	Japan
546	Wuhan University of Technology	45.963	China
547	National Taipei University of Technology	45.917	Taiwan
548	China Pharmaceutical University	45.802	China
549	University of Johannesburg	45.712	South Africa
550	Riga Technical University	45.639	Latvia
551	Belarusian State University	45.576	Belarus
552	Chiang Mai University	45.549	Thailand
553	Amrita Vishwa Vidyapeetham University	45.534	India
554	Beijing Forestry University	45.307	China
555	University of Peradeniya	45.274	Sri Lanka
556	Middlesex University	45.158	UK
557	University of Ulster	45.15	UK
558	Mendeleev University of Chemical Technology	45.051	Russia
559	Hitotsubashi University	45.029	Japan
560	University of Seville	44.958	Spain
561	Saint-Petersburg State Electotechnical University ``LETI``	44.899	Russia
562	Coventry University	44.767	UK
563	San Diego State University	44.717	USA
564	Fluminense Federal University	44.368	Brazil
565	Xidian University	44.332	China
566	Financial University under the Government of the Russian Federation	44.329	Russia
567	National Research University of Electronic Technology (MIET)	44.144	Russia
568	University of Electro-Communications	44.086	Japan
569	Pirogov Russian National Research Medical University	44.031	Russia
570	State University of New York, Binghamton	44.019	USA
571	University of Baghdad	44.007	Iraq
572	University of Vigo	43.885	Spain
573	University of Bari	43.876	Italy
574	ISCTE – University Institute of Lisbon	43.846	Portugal
575	Samara University	43.814	Russia
576	Gyeongsang National University	43.798	Republic of Korea
577	Al-Farabi Kazakh National University	43.748	Kazakhstan
578	Kashan University	43.58	Iran
579	Maynooth University	43.4	Ireland
580	University of Hertfordshire	43.396	UK
581	Tokai University	43.347	Japan
582	East Carolina University	43.341	USA
583	University of Brescia	43.339	Italy
584	University of Central Lancashire	43.208	UK
585	University of Memphis	43.203	USA
586	Concordia University	43.071	Canada
587	University of Alcala	42.968	Spain
588	Oakland University	42.948	USA
589	Glasgow Caledonian University	42.844	UK
590	Southern Cross University	42.692	Australia
591	Thammasat University	42.622	Thailand
592	Sumy State University	42.574	Ukraine
593	Northern Arizona University	42.488	USA
594	Chung Shan Medical University	42.188	Taiwan
595	Babes-Bolyai University	42.171	Romania
596	Inha University	42.035	Republic of Korea
597	Florida Atlantic University	41.998	USA
598	TOBB University of Economics and Technology	41.787	Turkey
599	University of the West of England	41.685	UK
600	Manchester Metropolitan University	41.436	UK
601	Ryazan State Medical University	41.383	Russia
602	Gebze Technical University	41.207	Turkey
603	Universite de Carthage	41.099	Tunisia
604	Miami University	41.069	USA
605	Ege University	41.058	Turkey
606	Cochin University of Science and Technology	40.932	India
607	De Montfort University	40.93	UK
608	King Mongkut`s University of Technology Thonburi	40.806	Thailand
609	University of Maribor	40.725	Slovenia
610	Yeungnam University	40.621	Republic of Korea
611	Altai State University	40.607	Russia
612	Orel State University	40.539	Russia
613	Austral University (Argentina)	40.504	Argentina
614	Federation University Australia	40.346	Australia
615	Northeast Federal University	40.31	Russia
616	National Technical University Kharkiv Polytechnic Institute	40.225	Ukraine
617	Bashkirian State Medical University	40.166	Russia
618	University of Quebec at Chicoutimi	39.936	Canada
619	Gazi University	39.925	Turkey
620	Hallym University	39.921	Republic of Korea
621	Portland State University	39.879	USA
622	Far Eastern Federal University	39.855	Russia
623	Pontificia Universidade Catolica do Rio Grande do Sul	39.672	Brazil
624	Siberian State Medical University	39.65	Russia
625	Jiangsu University	39.644	China
626	West University of Timisoara	39.566	Romania
627	Lodz University of Technology	39.375	Poland
628	Cairo University	39.197	Egypt
629	University of Bucharest	39.185	Romania
630	University Politechica of Bucharest	39.111	Romania
631	Metropolitan Autonomous University	39.066	Mexico
632	Sheffield Hallam University	39.027	UK
633	Voronezh State University	38.879	Russia
634	Gdansk University of Technology	38.708	Poland
635	Shenzhen University	38.556	China
636	American University of Sharjah	38.523	United Arab Emirates
637	Ivane Javakhishvili Tbilisi State University	38.517	Republic of Georgia
638	University of South Africa	38.434	South Africa
639	Zhejiang University of Technology	38.416	China
640	RANEPA, The Russian Presidential Academy of National Economy and Public Administration	38.37	Russia
641	Kasetsart University	38.363	Thailand
642	Fu Jen Catholic University	38.312	Taiwan
643	Allameh Tabataba`i University	38.192	Iran
644	University of Monastir	38.051	Tunisia
645	London Metropolitan University	38.046	UK
646	Eskisehir Osmangazi University	38.013	Turkey
647	Prince of Songkla University	37.987	Thailand
648	Immanuel Kant Baltic Federal University	37.973	Russia
649	Novosibirsk State Technical University	37.769	Russia
650	Baku State University	37.75	Azerbaijan
651	New Economic School (NES)	37.74	Russia
652	L.N. Gumilyov Eurasian National University	37.69	Kazakhstan
653	University of Lodz	37.65	Poland
654	Tomsk State Pedagogical University	37.446	Russia
655	National Chung Cheng University	37.419	Taiwan
656	Kursk State Medical University	37.415	Russia
657	Grigore T. Popa University of Medicine and Pharmacy	37.226	Romania
658	Plekhanov Russian University of Economics	37.161	Russia
659	Pontificial Catholic University of Valparaiso	37.154	Chile
660	Kyiv National Economic University	36.979	Ukraine
661	Khon Kaen University	36.925	Thailand
662	Yildiz Technical University	36.918	Turkey
662	Technical University of Moldova	36.917	Moldova
663	Suranaree University of Technology	36.687	Thailand
664	University of West Bohemia	36.467	Czech Republic
665	University of Basrah	36.396	Iraq
666	University of Patras	36.367	Greece
667	The Herzen State Pedagogical University of Russia	36.027	Russia
668	Yanshan University	35.971	China
669	Vellore Institute of Technology	35.942	India
670	Makerere University	35.575	Uganda
671	Moscow Pedagogical State University	35.531	Russia
672	King Mongkut`s Institute of Technology Ladkrabang	35.509	Thailand
673	Alexandria University	35.37	Egypt
674	University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca	35.321	Romania
675	Kindai University	35.198	Japan
676	Atilim University	35.195	Turkey
677	Southwest Jiaotong University	35.179	China
678	Kazan National Research Technical University named after A.N. Tupolev	35.157	Russia
679	Yangzhou University	34.992	China
680	Mustansiriyah University	34.943	Iraq
681	Erciyes University	34.92	Turkey
682	Tomsk State University of Control Systems and Radioelectronics (TUSUR University)	34.914	Russia
